 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   13984 |    66840 |       8.6 |       8.6 |            - |            -
      1 |   13982 |    57983 |      14.2 |      22.8 |            - |            -
      2 |   18597 |    72318 |      15.9 |      38.6 |            - |            -
      3 |   24391 |    95305 |      17.1 |      55.8 |            - |            -
      4 |   31548 |   126042 |      21.1 |      76.9 |            - |            -
      5 |   40293 |   164518 |      26.9 |     103.7 | +1.64824e+09 | +9.11617e+08
      6 |   49774 |   208134 |      32.6 |     136.3 | +6.39717e+08 | +4.51584e+08
      7 |   59837 |   255851 |      40.8 |     177.2 | +3.20957e+08 | +3.77719e+08
      8 |   71834 |   313712 |      50.3 |     227.5 | +2.16269e+08 | +2.31789e+08

Solution completed. Time to solve: 263.4 s
