 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14004 |    67056 |     353.9 |     353.9 |            - |            -
      1 |   14019 |    58048 |      15.7 |     369.5 |            - |            -
      2 |   18461 |    72001 |      15.3 |     384.8 |            - |            -
      3 |   24091 |    94330 |      18.5 |     403.3 |            - |            -
      4 |   31027 |   124155 |      21.8 |     425.1 |            - |            -
      5 |   39697 |   162341 |      28.1 |     453.2 | +3.47224e-01 | +1.63461e-01
      6 |   49208 |   205812 |      35.2 |     488.4 | +1.22857e-01 | +9.11947e-02
      7 |   59434 |   253806 |      39.7 |     528.1 | +6.10832e-02 | +7.60631e-02
      8 |   71254 |   311340 |      48.4 |     576.5 | +4.22186e-02 | +3.82530e-02

Solution completed. Time to solve: 610.6 s
