 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   13984 |    66840 |       9.0 |       9.0 |            - |            -
      1 |   13959 |    57799 |      14.7 |      23.7 |            - |            -
      2 |   18491 |    71933 |      14.8 |      38.5 |            - |            -
      3 |   24184 |    94517 |      17.5 |      55.9 |            - |            -
      4 |   31097 |   124341 |      21.1 |      77.0 |            - |            -
      5 |   39785 |   162440 |      25.7 |     102.7 | +3.26810e-01 | +1.66604e-01
      6 |   49503 |   206849 |      32.3 |     135.0 | +1.31913e-01 | +7.30812e-02
      7 |   59532 |   254175 |      39.4 |     174.5 | +6.26511e-02 | +6.71799e-02
      8 |   70994 |   309480 |      48.0 |     222.4 | +4.25265e-02 | +4.05182e-02

Solution completed. Time to solve: 256.5 s
